symbol,split,variant,config_id,trades,win_rate,expectancy_r,profit_factor,max_drawdown_r,total_r
ETHUSDT,development,sweep_reclaim,5,13,0.23076923076923078,-0.10620138741015109,0.8619381963668035,-4.000000000000001,-1.3806180363319642
BTCUSDT,development,sweep_reclaim,6,7,0.42857142857142855,0.6571872747740517,2.1500777308545893,-2.000000000000001,4.600310923418362
ETHUSDT,development,sweep_reclaim,6,4,0.25,-0.025908728183933222,0.9654550290880891,-3.0000000000000004,-0.10363491273573289
BTCUSDT,development,sweep_reclaim,7,7,0.42857142857142855,0.6632163271026218,2.1606285724295877,-2.0000000000000018,4.642514289718353
ETHUSDT,development,sweep_reclaim,7,4,0.25,-0.024082233545322407,0.9678903552729036,-3.0000000000000018,-0.09632893418128963
BTCUSDT,development,sweep_reclaim,8,8,0.25,-0.029664346686208765,0.9604475377517216,-4.000000000000003,-0.23731477348967012
ETHUSDT,development,sweep_reclaim,8,5,0.2,-0.2369479953274017,0.7038150058407477,-2.9999999999999973,-1.1847399766370086
BTCUSDT,development,sweep_reclaim,9,8,0.25,-0.026581383534415914,0.9645581552874454,-4.0,-0.21265106827532732
ETHUSDT,development,sweep_reclaim,9,5,0.2,-0.23245797153555037,0.709427535580562,-2.999999999999999,-1.1622898576777518
BTCUSDT,development,sweep_reclaim,10,4,0.5,0.9406713066275827,2.8813426132551645,-2.000000000000001,3.7626852265103308
ETHUSDT,development,sweep_reclaim,10,2,0.0,-0.9999999999999991,0.0,-0.9999999999999996,-1.9999999999999982
BTCUSDT,development,sweep_reclaim,11,4,0.5,0.9468372329311685,2.8936744658623366,-2.0000000000000018,3.787348931724674
ETHUSDT,development,sweep_reclaim,11,2,0.0,-1.0,0.0,-0.9999999999999991,-2.0
BTCUSDT,development,sweep_reclaim,12,10,0.4,0.5539803952637994,1.9233006587729988,-4.000000000000002,5.539803952637994
ETHUSDT,development,sweep_reclaim,12,8,0.125,-0.5230924970796262,0.4021800033375699,-6.000000000000001,-4.18473997663701
BTCUSDT,development,sweep_reclaim,13,10,0.4,0.5584480436492425,1.9307467394154045,-4.0,5.584480436492425
ETHUSDT,development,sweep_reclaim,13,8,0.125,-0.5202862322097191,0.40538716318889245,-6.000000000000003,-4.162289857677753
BTCUSDT,development,sweep_reclaim,14,5,0.6,1.3200621846836726,4.30015546170918,-2.000000000000001,6.6003109234183635
ETHUSDT,development,sweep_reclaim,14,3,0.0,-1.0000000000000002,0.0,-2.0000000000000018,-3.0000000000000004
BTCUSDT,development,sweep_reclaim,15,5,0.6,1.3285028579436708,4.321257144859176,-2.0000000000000018,6.6425142897183544
ETHUSDT,development,sweep_reclaim,15,3,0.0,-1.0000000000000007,0.0,-2.000000000000001,-3.0000000000000018
BTCUSDT,development,sweep_reclaim,16,23,0.21739130434782608,-0.15128282145569416,0.8066941725843909,-6.064221003447031,-3.4795048934809656
ETHUSDT,development,sweep_reclaim,16,21,0.2857142857142857,0.10217389252097392,1.1430434495293633,-5.000000000000007,2.1456517429404522
BTCUSDT,development,sweep_reclaim,17,22,0.22727272727272727,-0.11108377835847862,0.8562445221243219,-6.0614274869671565,-2.4438431238865297
ETHUSDT,development,sweep_reclaim,17,21,0.3333333333333333,0.2935726800432297,1.4403590200648444,-5.0000000000000036,6.165026280907823
BTCUSDT,development,sweep_reclaim,18,12,0.25,-0.022594213115861888,0.9698743825121839,-4.000000000000001,-0.27113055739034264
ETHUSDT,development,sweep_reclaim,18,12,0.3333333333333333,0.28843840841205476,1.4326576126180819,-6.0000000000000036,3.461260900944657
BTCUSDT,development,sweep_reclaim,19,11,0.2727272727272727,0.0681554351532724,1.0937137233357495,-3.9999999999999982,0.7497097866859963
ETHUSDT,development,sweep_reclaim,19,12,0.3333333333333333,0.29273334753234925,1.4391000212985239,-6.0,3.512800170388191
BTCUSDT,development,sweep_reclaim,20,31,0.3548387096774194,0.36402516352942343,1.5642390034706053,-6.156580991400507,11.284780069412127
